Codename,Puzzle,Points
carr-lane-1-AlmondSparkles,doinorder-w,13
carr-lane-1-AlmondSparkles,doinorder-g,2
carr-lane-1-AlmondSparkles,doinorder-x,10
carr-lane-1-AlmondSparkles,doinorder-b,11
carr-lane-1-AlmondSparkles,doinorder-q,2
carr-lane-1-AlmondSparkles,doinorder-p,4
carr-lane-1-AlmondSparkles,doinorder-r,3
carr-lane-1-AlmondSparkles,doinorder-s,0
carr-lane-1-AlmondSparkles,doinorder-d,0
carr-lane-1-AlmondSparkles,doinorder-z,0
carr-lane-1-AlmondSparkles,doinorder-y,0
carr-lane-1-AlmondSparkles,doinorder-u,0
carr-lane-1-AlmondSparkles,doinorder-v,-4
carr-lane-1-AlmondSparkles,doinorder-bb,6
carr-lane-1-AlmondSparkles,doinorder-e,2
carr-lane-1-AlmondSparkles,doinorder-h,9
carr-lane-1-AquaMask,sequential-c,3
carr-lane-1-AquaMask,sequential-d,6
carr-lane-1-AquaMask,dotogether-a,0
carr-lane-1-AquaMask,dotogether-b,3
carr-lane-1-AquaMask,dotogether-o,0
carr-lane-1-AquaMask,dotogether-m,7
carr-lane-1-AquaMask,dotogether-n,0
carr-lane-1-AquaMask,dotogether-e,8
carr-lane-1-AquaMask,dotogether-d,0
carr-lane-1-AquaMask,dotogether-i,0
carr-lane-1-AquaMask,dotogether-l,-2
carr-lane-1-AquaMask,dotogether-f,3
carr-lane-1-AquaMask,dotogether-c,0
carr-lane-1-AquaMask,dotogether-j,7
carr-lane-1-AquaMask,dotogether-k,0
carr-lane-1-AquaMask,dotogether-g,0
carr-lane-1-AquaMask,sequential-g,7
carr-lane-1-AquaMask,dotogether-h,0
carr-lane-1-AquaMask,repeat-ee,0
carr-lane-1-AquaMask,repeat-m,0
carr-lane-1-AquaMask,repeat-f,0
carr-lane-1-AquaMask,repeat-gg,7
carr-lane-1-AquaMask,repeat-b,-1
carr-lane-1-AquaMask,repeat-e,5
carr-lane-1-AquaMask,repeat-a,0
carr-lane-1-AquaMask,repeat-g,1
carr-lane-1-AquaMask,repeat-cc,3
carr-lane-1-AquaMask,repeat-dd,-2
carr-lane-1-AquaMask,repeat-hh,0
carr-lane-1-AquaMask,repeat-ff,0
carr-lane-1-AquaMask,repeat-i,0
carr-lane-1-AquaMask,repeat-n,3
carr-lane-1-AquaMask,repeat-l,3
carr-lane-1-AquaMask,repeat-x,1
carr-lane-1-AquaMask,repeat-y,4
carr-lane-1-AquaMask,repeat-w,5
carr-lane-1-AquaMask,repeat-q,0
carr-lane-1-AquaMask,repeat-r,0
carr-lane-1-AquaMask,repeat-s,0
carr-lane-1-AquaMask,repeat-z,-1
carr-lane-1-AquaMask,repeat-j,-2
carr-lane-1-AquaMask,repeat-p,2
carr-lane-1-AquaMask,repeat-o,0
carr-lane-1-AquaMask,repeat-aa,0
carr-lane-1-AquaMask,doinorder-l,-3
carr-lane-1-AquaMask,doinorder-k,0
carr-lane-1-AquaMask,doinorder-a,0
carr-lane-1-AquaMask,doinorder-n,0
carr-lane-1-AquaMask,doinorder-w,5
carr-lane-1-BananaBubble,sequential-g,7
carr-lane-1-BananaBubble,sequential-c,6
carr-lane-1-BananaBubble,dotogether-a,6
carr-lane-1-BananaBubble,dotogether-b,6
carr-lane-1-BananaBubble,dotogether-m,4
carr-lane-1-BananaBubble,dotogether-n,0
carr-lane-1-BananaBubble,dotogether-e,-1
carr-lane-1-BananaBubble,dotogether-o,5
carr-lane-1-BananaBubble,dotogether-d,0
carr-lane-1-BananaBubble,dotogether-c,0
carr-lane-1-BananaBubble,dotogether-l,0
carr-lane-1-BananaBubble,dotogether-j,11
carr-lane-1-BananaBubble,dotogether-i,6
carr-lane-1-BananaBubble,dotogether-g,9
carr-lane-1-BananaBubble,dotogether-h,9
carr-lane-1-BananaBubble,repeat-e,0
carr-lane-1-BananaBubble,repeat-m,0
carr-lane-1-BananaBubble,repeat-f,0
carr-lane-1-BananaBubble,repeat-a,0
carr-lane-1-BananaBubble,repeat-dd,0
carr-lane-1-BananaBubble,repeat-cc,1
carr-lane-1-BananaBubble,repeat-g,2
carr-lane-1-BananaBubble,repeat-hh,2
carr-lane-1-BananaBubble,repeat-ff,-1
carr-lane-1-BananaBubble,repeat-j,0
carr-lane-1-BananaBubble,repeat-n,9
carr-lane-1-BananaBubble,repeat-i,1
carr-lane-1-BananaBubble,repeat-x,10
carr-lane-1-BananaBubble,repeat-l,0
carr-lane-1-BananaBubble,repeat-q,-1
carr-lane-1-BananaBubble,repeat-p,4
carr-lane-1-BananaBubble,repeat-w,2
carr-lane-1-BananaBubble,repeat-r,4
carr-lane-1-BananaBubble,repeat-s,0
carr-lane-1-BananaBubble,repeat-y,9
carr-lane-1-BananaBubble,repeat-o,6
carr-lane-1-BananaBubble,repeat-z,0
carr-lane-1-BananaBubble,repeat-aa,0
carr-lane-1-BananaBubble,doinorder-a,0
carr-lane-1-BananaBubble,doinorder-l,4
carr-lane-1-BananaBubble,doinorder-k,0
carr-lane-1-BananaBubble,doinorder-n,0
carr-lane-1-BananaBubble,doinorder-f,0
carr-lane-1-BananaBubble,doinorder-w,7
carr-lane-1-BananaBubble,doinorder-q,4
carr-lane-1-BananaBubble,doinorder-r,0
carr-lane-1-BananaBubble,doinorder-d,1
carr-lane-1-BlueberryCactus,sequential-d,4
carr-lane-1-BlueberryCactus,sequential-g,7
carr-lane-1-BlueberryCactus,dotogether-a,5
carr-lane-1-BlueberryCactus,sequential-c,-1
carr-lane-1-BlueberryCactus,dotogether-n,5
carr-lane-1-BlueberryCactus,dotogether-b,6
carr-lane-1-BlueberryCactus,dotogether-m,0
carr-lane-1-BlueberryCactus,dotogether-d,3
carr-lane-1-BlueberryCactus,dotogether-e,1
carr-lane-1-BlueberryCactus,dotogether-i,4
carr-lane-1-BlueberryCactus,dotogether-c,-1
carr-lane-1-BlueberryCactus,dotogether-l,5
carr-lane-1-BlueberryCactus,dotogether-k,6
carr-lane-1-BlueberryCactus,dotogether-f,7
carr-lane-1-BlueberryCactus,dotogether-g,9
carr-lane-1-BlueberryCactus,dotogether-o,-1
carr-lane-1-BlueberryCactus,dotogether-h,8
carr-lane-1-BlueberryCactus,repeat-ee,0
carr-lane-1-BlueberryCactus,repeat-gg,5
carr-lane-1-BlueberryCactus,repeat-f,4
carr-lane-1-BlueberryCactus,repeat-a,8
carr-lane-1-BlueberryCactus,repeat-b,2
carr-lane-1-BlueberryCactus,repeat-e,6
carr-lane-1-BlueberryCactus,repeat-g,5
carr-lane-1-BlueberryCactus,repeat-m,7
carr-lane-1-BlueberryCactus,repeat-c,10
carr-lane-1-BlueberryCactus,repeat-cc,4
carr-lane-1-BlueberryCactus,repeat-ii,4
carr-lane-1-BlueberryCactus,repeat-dd,1
carr-lane-1-BlueberryCactus,repeat-ff,-1
carr-lane-1-BlueberryCactus,repeat-o,10
carr-lane-1-BlueberryCactus,repeat-j,4
carr-lane-1-BlueberryCactus,repeat-i,7
carr-lane-1-BlueberryCactus,repeat-n,10
carr-lane-1-CandyCrayon,sequential-d,5
carr-lane-1-CandyCrayon,sequential-g,5
carr-lane-1-CandyCrayon,dotogether-o,4
carr-lane-1-CandyCrayon,sequential-c,0
carr-lane-1-CandyCrayon,dotogether-a,8
carr-lane-1-CandyCrayon,dotogether-n,0
carr-lane-1-CandyCrayon,dotogether-m,0
carr-lane-1-CandyCrayon,dotogether-b,0
carr-lane-1-CandyCrayon,dotogether-c,0
carr-lane-1-CandyCrayon,dotogether-l,0
carr-lane-1-CandyCrayon,dotogether-d,8
carr-lane-1-CandyCrayon,dotogether-i,5
carr-lane-1-CandyCrayon,dotogether-j,0
carr-lane-1-CandyCrayon,dotogether-f,5
carr-lane-1-CandyCrayon,dotogether-k,11
carr-lane-1-CandyCrayon,dotogether-h,6
carr-lane-1-CandyCrayon,repeat-gg,1
carr-lane-1-CandyCrayon,repeat-f,2
carr-lane-1-CandyCrayon,repeat-dd,4
carr-lane-1-CandyCrayon,repeat-c,0
carr-lane-1-CandyCrayon,repeat-ff,0
carr-lane-1-CandyCrayon,repeat-j,6
carr-lane-1-CandyCrayon,repeat-n,9
carr-lane-1-CandyCrayon,repeat-o,0
carr-lane-1-CandyCrayon,repeat-x,4
carr-lane-1-CandyCrayon,repeat-l,4
carr-lane-1-CandyCrayon,repeat-w,2
carr-lane-1-CandyCrayon,repeat-i,2
carr-lane-1-CandyCrayon,repeat-q,1
carr-lane-1-CandyCrayon,repeat-r,1
carr-lane-1-CandyCrayon,repeat-z,7
carr-lane-1-CandyCrayon,repeat-s,16
carr-lane-1-CandyCrayon,repeat-y,0
carr-lane-1-CandyCrayon,repeat-aa,1
carr-lane-1-CinnamonCupcake,sequential-d,0
carr-lane-1-CinnamonCupcake,sequential-c,-1
carr-lane-1-CinnamonCupcake,dotogether-a,0
carr-lane-1-CinnamonCupcake,dotogether-o,3
carr-lane-1-CinnamonCupcake,sequential-g,0
carr-lane-1-CinnamonCupcake,dotogether-m,0
carr-lane-1-CinnamonCupcake,dotogether-n,0
carr-lane-1-CinnamonCupcake,dotogether-b,0
carr-lane-1-CinnamonCupcake,dotogether-d,4
carr-lane-1-CinnamonCupcake,dotogether-e,8
carr-lane-1-CinnamonCupcake,dotogether-i,7
carr-lane-1-CinnamonCupcake,dotogether-l,0
carr-lane-1-CinnamonCupcake,dotogether-j,2
carr-lane-1-CinnamonCupcake,dotogether-g,0
carr-lane-1-CinnamonCupcake,dotogether-k,3
carr-lane-1-CinnamonCupcake,dotogether-c,5
carr-lane-1-CinnamonCupcake,dotogether-f,3
carr-lane-1-CinnamonCupcake,dotogether-h,4
carr-lane-1-CinnamonCupcake,repeat-e,0
carr-lane-1-CinnamonCupcake,repeat-m,-2
carr-lane-1-CinnamonCupcake,repeat-f,-6
carr-lane-1-CinnamonCupcake,repeat-a,3
carr-lane-1-CinnamonCupcake,repeat-g,0
carr-lane-1-CinnamonCupcake,repeat-cc,2
carr-lane-1-CinnamonCupcake,repeat-hh,2
carr-lane-1-CinnamonCupcake,repeat-dd,5
carr-lane-1-CinnamonCupcake,repeat-ii,2
carr-lane-1-CinnamonCupcake,repeat-c,4
carr-lane-1-CinnamonCupcake,repeat-gg,4
carr-lane-1-CinnamonCupcake,repeat-ee,0
carr-lane-1-CinnamonCupcake,repeat-ff,4
carr-lane-1-CinnamonCupcake,repeat-j,1
carr-lane-1-CinnamonCupcake,repeat-i,0
carr-lane-1-CinnamonCupcake,repeat-n,5
carr-lane-1-CinnamonCupcake,repeat-o,6
carr-lane-1-CinnamonCupcake,repeat-w,1
carr-lane-1-CinnamonCupcake,repeat-x,6
carr-lane-1-CinnamonCupcake,repeat-q,1
carr-lane-1-CinnamonCupcake,repeat-l,6
carr-lane-1-CinnamonCupcake,repeat-y,-2
carr-lane-1-CinnamonCupcake,repeat-s,4
carr-lane-1-CinnamonCupcake,repeat-r,1
carr-lane-1-CinnamonCupcake,repeat-aa,10
carr-lane-1-DaintyBunny,sequential-c,0
carr-lane-1-DaintyBunny,dotogether-m,0
carr-lane-1-DaintyBunny,sequential-g,1
carr-lane-1-DaintyBunny,sequential-d,0
carr-lane-1-DaintyBunny,dotogether-b,0
carr-lane-1-DaintyBunny,dotogether-n,5
carr-lane-1-DaintyBunny,dotogether-e,2
carr-lane-1-DaintyBunny,dotogether-c,0
carr-lane-1-DaintyBunny,dotogether-d,7
carr-lane-1-DaintyBunny,dotogether-i,5
carr-lane-1-DaintyBunny,dotogether-l,1
carr-lane-1-DaintyBunny,dotogether-a,0
carr-lane-1-DaintyBunny,dotogether-j,6
carr-lane-1-DaintyBunny,dotogether-k,7
carr-lane-1-DaintyBunny,dotogether-h,0
carr-lane-1-DaintyBunny,repeat-ee,0
carr-lane-1-DaintyBunny,repeat-gg,1
carr-lane-1-DaintyBunny,repeat-m,1
carr-lane-1-DaintyBunny,repeat-f,5
carr-lane-1-DaintyBunny,repeat-e,0
carr-lane-1-DaintyBunny,repeat-b,0
carr-lane-1-DaintyBunny,repeat-a,0
carr-lane-1-DaintyBunny,repeat-cc,2
carr-lane-1-DaintyBunny,repeat-hh,2
carr-lane-1-DaintyBunny,repeat-c,0
carr-lane-1-DaintyBunny,repeat-ff,0
carr-lane-1-DaintyBunny,repeat-j,0
carr-lane-1-DaintyBunny,repeat-n,9
carr-lane-1-DaintyBunny,repeat-o,4
carr-lane-1-DaintyBunny,repeat-i,0
carr-lane-1-DaintyBunny,repeat-w,4
carr-lane-1-DaintyBunny,repeat-q,4
carr-lane-1-DaintyBunny,repeat-x,1
carr-lane-1-DaintyBunny,repeat-y,3
carr-lane-1-LemonCandy,sequential-c,-2
carr-lane-1-LemonCandy,sequential-d,5
carr-lane-1-LemonCandy,sequential-g,7
carr-lane-1-LemonCandy,dotogether-a,8
carr-lane-1-LemonCandy,dotogether-m,8
carr-lane-1-LemonCandy,dotogether-o,6
carr-lane-1-LemonCandy,dotogether-n,6
carr-lane-1-LemonCandy,dotogether-c,5
carr-lane-1-LemonCandy,dotogether-d,7
carr-lane-1-LemonCandy,dotogether-e,9
carr-lane-1-LemonCandy,dotogether-i,8
carr-lane-1-LemonCandy,dotogether-f,3
carr-lane-1-LemonCandy,dotogether-l,5
carr-lane-1-LemonCandy,dotogether-j,6
carr-lane-1-LemonCandy,dotogether-h,10
carr-lane-1-LemonCandy,repeat-ee,4
carr-lane-1-LemonCandy,repeat-gg,6
carr-lane-1-LemonCandy,repeat-f,-1
carr-lane-1-LemonCandy,repeat-a,5
carr-lane-1-LemonCandy,repeat-e,7
carr-lane-1-LemonCandy,repeat-m,4
carr-lane-1-LemonCandy,repeat-g,5
carr-lane-1-LemonCandy,repeat-b,9
carr-lane-1-LemonCandy,repeat-dd,6
carr-lane-1-LemonCandy,repeat-ii,1
carr-lane-1-LemonCandy,repeat-c,4
carr-lane-1-LemonCandy,repeat-o,11
carr-lane-1-LemonCandy,repeat-x,8
carr-lane-1-ProfessorAstounding,sequential-g,7
carr-lane-1-ProfessorAstounding,dotogether-b,0
carr-lane-1-ProfessorAstounding,dotogether-o,1
carr-lane-1-ProfessorAstounding,dotogether-m,0
carr-lane-1-ProfessorAstounding,dotogether-n,6
carr-lane-1-ProfessorAstounding,sequential-d,6
carr-lane-1-ProfessorAstounding,dotogether-a,0
carr-lane-1-ProfessorAstounding,dotogether-e,9
carr-lane-1-ProfessorAstounding,dotogether-l,0
carr-lane-1-ProfessorAstounding,dotogether-c,5
carr-lane-1-ProfessorAstounding,dotogether-i,7
carr-lane-1-ProfessorAstounding,dotogether-j,4
carr-lane-1-ProfessorAstounding,dotogether-f,7
carr-lane-1-ProfessorAstounding,dotogether-h,0
carr-lane-1-ProfessorAstounding,repeat-gg,0
carr-lane-1-ProfessorAstounding,repeat-ee,0
carr-lane-1-ProfessorAstounding,repeat-e,0
carr-lane-1-ProfessorAstounding,repeat-a,0
carr-lane-1-ProfessorAstounding,repeat-b,7
carr-lane-1-ProfessorAstounding,repeat-g,0
carr-lane-1-ProfessorAstounding,repeat-m,0
carr-lane-1-ProfessorAstounding,repeat-cc,3
carr-lane-1-ProfessorAstounding,repeat-hh,0
carr-lane-1-ProfessorAstounding,repeat-c,-1
carr-lane-1-ProfessorAstounding,repeat-ff,0
carr-lane-1-ProfessorAstounding,repeat-i,1
carr-lane-1-ProfessorAstounding,repeat-o,0
carr-lane-1-ProfessorAstounding,repeat-j,-2
carr-lane-1-ProfessorAstounding,repeat-n,6
carr-lane-1-ProfessorAstounding,repeat-w,0
carr-lane-1-ProfessorAstounding,repeat-x,10
carr-lane-1-ProfessorAstounding,repeat-p,7
carr-lane-1-ProfessorAstounding,repeat-r,0
carr-lane-1-ProfessorAstounding,repeat-y,2
carr-lane-1-ProfessorAstounding,repeat-s,7
carr-lane-1-ProfessorAstounding,repeat-aa,7
carr-lane-1-ProfessorAstounding,doinorder-a,3
carr-lane-1-ProfessorAstounding,doinorder-k,0
carr-lane-1-ProfessorAstounding,doinorder-f,8
carr-lane-1-ProfessorAstounding,doinorder-n,0
carr-lane-1-ProfessorAstounding,doinorder-b,5
carr-lane-1-SkeletonPrism,sequential-g,4
carr-lane-1-SkeletonPrism,sequential-d,4
carr-lane-1-SkeletonPrism,sequential-c,2
carr-lane-1-SkeletonPrism,dotogether-a,8
carr-lane-1-SkeletonPrism,dotogether-m,0
carr-lane-1-SkeletonPrism,dotogether-b,0
carr-lane-1-SkeletonPrism,dotogether-e,6
carr-lane-1-SkeletonPrism,dotogether-n,0
carr-lane-1-SkeletonPrism,dotogether-d,3
carr-lane-1-SkeletonPrism,dotogether-c,6
carr-lane-1-SkeletonPrism,dotogether-l,3
carr-lane-1-SkeletonPrism,dotogether-i,10
carr-lane-1-SkeletonPrism,dotogether-j,7
carr-lane-1-SkeletonPrism,dotogether-k,10
carr-lane-1-SkeletonPrism,dotogether-h,9
carr-lane-1-SkeletonPrism,repeat-ee,0
carr-lane-1-SkeletonPrism,repeat-m,8
carr-lane-1-SkeletonPrism,repeat-f,4
carr-lane-1-SkeletonPrism,repeat-a,5
carr-lane-1-SkeletonPrism,repeat-g,3
carr-lane-1-SkeletonPrism,repeat-dd,0
carr-lane-1-SkeletonPrism,repeat-hh,6
carr-lane-1-SkeletonPrism,repeat-c,7
carr-lane-1-SkeletonPrism,repeat-ff,4
carr-lane-1-SkeletonPrism,repeat-o,11
carr-lane-1-SkeletonPrism,repeat-j,1
carr-lane-1-SkeletonPrism,repeat-i,7
carr-lane-1-SkeletonPrism,repeat-w,1
carr-lane-1-SkeletonPrism,repeat-l,2
carr-lane-1-SkeletonPrism,repeat-q,9
carr-lane-1-SkeletonPrism,repeat-x,12
carr-lane-1-SkeletonPrism,repeat-n,6
carr-lane-1-SkeletonPrism,repeat-y,2
carr-lane-1-SkeletonPrism,repeat-s,7
carr-lane-1-SkeletonPrism,repeat-z,12
carr-lane-1-SkeletonPrism,repeat-aa,6
carr-lane-1-SkeletonPrism,doinorder-n,7
carr-lane-1-SkeletonPrism,doinorder-f,9
carr-lane-1-SkeletonPrism,doinorder-k,8
carr-lane-1-SkeletonPrism,doinorder-a,6
carr-lane-1-SkeletonPrism,doinorder-l,1
carr-lane-1-SkeletonPrism,doinorder-b,2
carr-lane-1-SkeletonPrism,doinorder-w,9
carr-lane-1-SkeletonPrism,doinorder-o,3
carr-lane-1-SkeletonPrism,doinorder-g,7
carr-lane-1-SkeletonPrism,doinorder-d,4
carr-lane-1-SkeletonPrism,doinorder-x,9
carr-lane-1-SkeletonPrism,doinorder-q,4
carr-lane-1-SkeletonPrism,doinorder-p,4
carr-lane-1-SkeletonPrism,doinorder-s,9
carr-lane-1-SkeletonPrism,doinorder-r,-1
carr-lane-1-SkeletonPrism,doinorder-y,10
carr-lane-1-SkeletonPrism,doinorder-z,0
carr-lane-1-SkeletonPrism,doinorder-u,4
carr-lane-1-SkeletonPrism,doinorder-bb,12
carr-lane-1-SkeletonPrism,doinorder-cc,4
carr-lane-1-SkeletonPrism,doinorder-h,9
carr-lane-1-SkeletonPrism,doinorder-v,0
carr-lane-1-SkeletonPrism,doinorder-j,6
carr-lane-1-SkeletonPrism,doinorder-e,7
carr-lane-1-SkeletonPrism,repeat-u,6
carr-lane-1-SkeletonPrism,repeat-bb,8
carr-lane-1-SkeletonPrism,repeat-t,6
carr-lane-1-SkeletonPrism,integrative-e,11
carr-lane-1-SkeletonPrism,integrative-h,9
carr-lane-1-SkeletonPrism,integrative-b,0
carr-lane-1-SkeletonPrism,integrative-f,0
carr-lane-1-SkeletonPrism,integrative-c,3
carr-lane-1-SkeletonPrism,integrative-i,0
carr-lane-1-SkeletonPrism,integrative-d,-2
carr-lane-1-StingShadow,sequential-g,2
carr-lane-1-StingShadow,sequential-c,6
carr-lane-1-StingShadow,dotogether-a,0
carr-lane-1-StingShadow,dotogether-b,0
carr-lane-1-StingShadow,dotogether-n,0
carr-lane-1-StingShadow,dotogether-m,0
carr-lane-1-StingShadow,dotogether-d,3
carr-lane-1-StingShadow,dotogether-c,0
carr-lane-1-StingShadow,dotogether-i,3
carr-lane-1-StingShadow,dotogether-l,0
carr-lane-1-StingShadow,dotogether-j,0
carr-lane-1-StingShadow,dotogether-k,4
carr-lane-1-StingShadow,dotogether-h,1
carr-lane-1-StingShadow,repeat-gg,0
carr-lane-1-StingShadow,repeat-e,6
carr-lane-1-StingShadow,repeat-ee,0
carr-lane-1-StingShadow,repeat-m,0
carr-lane-1-StingShadow,repeat-b,8
carr-lane-1-StingShadow,repeat-f,0
carr-lane-1-StingShadow,repeat-a,0
carr-lane-1-StingShadow,repeat-dd,-2
carr-lane-1-StingShadow,repeat-cc,0
carr-lane-1-StingShadow,repeat-hh,2
carr-lane-1-StingShadow,repeat-g,5
carr-lane-1-StingShadow,repeat-c,9
carr-lane-1-StingShadow,repeat-ff,0
carr-lane-1-StingShadow,repeat-j,0
carr-lane-1-StingShadow,repeat-o,11
carr-lane-1-StingShadow,repeat-w,0
carr-lane-1-StingShadow,repeat-n,9
carr-lane-1-StingShadow,repeat-q,0
carr-lane-1-StingShadow,repeat-l,4
carr-lane-1-StingShadow,repeat-y,2
carr-lane-1-StingShadow,repeat-x,0
carr-lane-1-StingShadow,repeat-s,0
carr-lane-1-StingShadow,repeat-r,0
carr-lane-1-StingShadow,repeat-p,0
carr-lane-1-StingShadow,repeat-i,0
carr-lane-1-StingShadow,repeat-aa,0
carr-lane-1-StingShadow,doinorder-a,0
carr-lane-1-StingShadow,doinorder-f,0
carr-lane-1-StingShadow,doinorder-k,0
carr-lane-1-StingShadow,doinorder-w,0
carr-lane-1-StingShadow,doinorder-n,-3
carr-lane-1-StingShadow,doinorder-l,0
carr-lane-1-StingShadow,doinorder-g,6
carr-lane-1-StingShadow,doinorder-b,0
carr-lane-1-StingShadow,doinorder-x,2
carr-lane-1-StingShadow,doinorder-p,4
carr-lane-1-StingShadow,doinorder-d,0
carr-lane-1-StingShadow,doinorder-o,6
carr-lane-1-StingShadow,doinorder-y,10
carr-lane-1-StormMask,sequential-d,2
carr-lane-1-StormMask,sequential-c,6
carr-lane-1-StormMask,sequential-g,7
carr-lane-1-StormMask,dotogether-n,5
carr-lane-1-StormMask,dotogether-m,4
carr-lane-1-StormMask,dotogether-o,0
carr-lane-1-StormMask,dotogether-a,8
carr-lane-1-StormMask,dotogether-b,1
carr-lane-1-StormMask,dotogether-d,4
carr-lane-1-StormMask,dotogether-l,5
carr-lane-1-StormMask,dotogether-c,8
carr-lane-1-StormMask,dotogether-i,10
carr-lane-1-StormMask,dotogether-j,9
carr-lane-1-StormMask,dotogether-g,9
carr-lane-1-StormMask,dotogether-h,10
carr-lane-1-StormMask,repeat-gg,4
carr-lane-1-StormMask,repeat-f,1
carr-lane-1-StormMask,repeat-ee,4
carr-lane-1-StormMask,repeat-a,4
carr-lane-1-StormMask,repeat-b,7
carr-lane-1-StormMask,repeat-g,5
carr-lane-1-StormMask,repeat-e,3
carr-lane-1-StormMask,repeat-m,3
carr-lane-1-StormMask,repeat-dd,2
carr-lane-1-StormMask,repeat-ii,2
carr-lane-1-StormMask,repeat-c,0
carr-lane-1-StormMask,repeat-hh,6
carr-lane-1-StormMask,repeat-ff,6
carr-lane-1-StormMask,repeat-i,6
carr-lane-1-StormMask,repeat-n,5
carr-lane-1-StormMask,repeat-o,8
carr-lane-1-StormMask,repeat-j,6
carr-lane-1-StormMask,repeat-w,0
carr-lane-1-StormMask,repeat-q,3
carr-lane-1-StormMask,repeat-y,5
carr-lane-1-StormMask,repeat-l,5
carr-lane-1-StormMask,repeat-p,-2
carr-lane-1-StormMask,repeat-z,13
carr-lane-1-StormMask,repeat-s,8
carr-lane-1-StormMask,repeat-aa,10
carr-lane-1-StormMask,doinorder-a,9
carr-lane-1-StormMask,doinorder-f,9
carr-lane-1-StormMask,doinorder-k,3
carr-lane-1-StormMask,doinorder-w,5
carr-lane-1-TygaJazzy,sequential-c,3
carr-lane-1-TygaJazzy,sequential-g,5
carr-lane-1-TygaJazzy,sequential-d,5
carr-lane-1-TygaJazzy,dotogether-b,1
carr-lane-1-TygaJazzy,dotogether-n,0
carr-lane-1-TygaJazzy,dotogether-m,0
carr-lane-1-TygaJazzy,dotogether-o,1
carr-lane-1-TygaJazzy,dotogether-a,7
carr-lane-1-TygaJazzy,dotogether-e,1
carr-lane-1-TygaJazzy,dotogether-c,0
carr-lane-1-TygaJazzy,dotogether-i,9
carr-lane-1-TygaJazzy,dotogether-f,0
carr-lane-1-TygaJazzy,dotogether-l,5
carr-lane-1-TygaJazzy,dotogether-k,4
carr-lane-1-TygaJazzy,dotogether-h,4
carr-lane-1-TygaJazzy,repeat-e,4
carr-lane-1-TygaJazzy,repeat-ee,0
carr-lane-1-TygaJazzy,repeat-gg,0
carr-lane-1-TygaJazzy,repeat-m,0
carr-lane-1-TygaJazzy,repeat-a,2
carr-lane-1-TygaJazzy,repeat-c,1
carr-lane-1-TygaJazzy,repeat-ii,-1
carr-lane-1-TygaJazzy,repeat-ff,0
carr-lane-1-TygaJazzy,repeat-o,9
carr-lane-1-TygaJazzy,repeat-n,0
carr-lane-1-VelvetPrancer,sequential-d,3
carr-lane-1-VelvetPrancer,sequential-c,3
carr-lane-1-VelvetPrancer,sequential-g,0
carr-lane-1-VelvetPrancer,dotogether-n,0
carr-lane-1-VelvetPrancer,dotogether-a,0
carr-lane-1-VelvetPrancer,dotogether-b,0
